Date,Open,High,Low,Close,Adj Close,Volume
2019-02-08,3220.000000,3236.000000,3150.000000,3160.000000,3068.195801,590720
2019-02-11,3152.000000,3192.000000,3152.000000,3156.000000,3064.312012,593165
2019-02-12,3180.000000,3240.000000,3148.000000,3238.000000,3143.929688,743565
2019-02-13,3252.000000,3284.000000,3238.000000,3284.000000,3188.593262,593110
2019-02-14,3280.000000,3300.000000,3252.000000,3280.000000,3184.709473,537423
2019-02-15,3254.000000,3288.000000,3238.000000,3288.000000,3192.477051,331037
2019-02-18,3290.000000,3310.000000,3274.000000,3310.000000,3213.838135,437201
2019-02-19,3300.000000,3310.000000,3282.000000,3300.000000,3204.128418,228566
2019-02-20,3304.000000,3348.000000,3302.000000,3332.000000,3235.198975,709520
2019-02-21,3340.000000,3340.000000,3240.000000,3306.000000,3209.954102,695308
2019-02-22,3328.000000,3330.000000,3254.000000,3282.000000,3186.651367,742083
2019-02-25,3294.000000,3294.000000,3262.000000,3290.000000,3194.418945,436274
2019-02-26,3280.000000,3280.000000,3234.000000,3272.000000,3176.941895,672530
2019-02-27,3246.000000,3306.000000,3230.000000,3266.000000,3171.116211,666934
2019-02-28,3276.000000,3280.000000,3240.000000,3240.000000,3145.871582,914704
2019-03-01,3264.000000,3264.000000,3202.000000,3210.000000,3116.743164,718558
2019-03-04,3226.000000,3250.000000,3220.000000,3250.000000,3155.581055,327100
2019-03-05,3258.000000,3288.000000,3250.000000,3286.000000,3190.535156,511026
2019-03-06,3262.000000,3336.000000,3262.000000,3332.000000,3235.198975,899392
2019-03-07,3312.000000,3330.000000,3282.000000,3290.000000,3194.418945,417099
2019-03-08,3270.000000,3292.000000,3240.000000,3258.000000,3163.348633,300168
2019-03-11,3260.000000,3286.000000,3248.000000,3278.000000,3182.767578,115300
2019-03-12,3290.000000,3290.000000,3264.000000,3266.000000,3171.116211,189167
2019-03-13,3280.000000,3288.000000,3262.000000,3286.000000,3190.535156,376034
2019-03-14,3288.000000,3318.000000,3264.000000,3314.000000,3217.721924,494122
2019-03-15,3314.000000,3314.000000,3314.000000,3314.000000,3217.721924,0
2019-03-18,3330.000000,3370.000000,3322.000000,3368.000000,3270.153076,831206
2019-03-19,3346.000000,3380.000000,3346.000000,3350.000000,3252.676025,414519
2019-03-20,3350.000000,3370.000000,3308.000000,3328.000000,3231.315186,602905
2019-03-21,3360.000000,3374.000000,3348.000000,3358.000000,3260.443604,731667
2019-03-22,3360.000000,3374.000000,3298.000000,3300.000000,3204.128418,314693
2019-03-25,3300.000000,3320.000000,3288.000000,3294.000000,3198.302734,229024
2019-03-26,3298.000000,3344.000000,3282.000000,3300.000000,3204.128418,421702
2019-03-27,3300.000000,3328.000000,3276.000000,3306.000000,3209.954102,810789
2019-03-28,3300.000000,3310.000000,3250.000000,3274.000000,3178.883789,531592
2019-03-29,3290.000000,3300.000000,3274.000000,3280.000000,3184.709473,197653
2019-04-01,3280.000000,3322.000000,3260.000000,3320.000000,3223.547607,530999
2019-04-02,3328.000000,3328.000000,3290.000000,3312.000000,3215.780029,289296
2019-04-03,3302.000000,3330.000000,3284.000000,3298.000000,3202.186523,349018
